date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:49:44	98391/98391	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:10%20GMT	https://sites.google.com/view/f17er/m081l3-gam35/t3mpl3-run	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/m081l3-gam35/t3mpl3-run.html	(from https://sites.google.com/view/f17er)
00:49:45	98567/98567	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:11%20GMT	https://sites.google.com/view/f17er/3mulat0r5gam35/fla5h/atar1-8r3ak0ut	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/3mulat0r5gam35/fla5h/atar1-8r3ak0ut.html	(from https://sites.google.com/view/f17er)
00:49:45	99499/99499	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:11%20GMT	https://sites.google.com/view/f17er/3mulat0r5gam35/fla5h/fla5h-play3r	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/3mulat0r5gam35/fla5h/fla5h-play3r.html	(from https://sites.google.com/view/f17er)
00:49:46	98529/98529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:11%20GMT	https://sites.google.com/view/f17er/3mulat0r5gam35/fla5h/50n1c-fla5h	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/3mulat0r5gam35/fla5h/50n1c-fla5h.html	(from https://sites.google.com/view/f17er)
00:49:46	98606/98606	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:12%20GMT	https://sites.google.com/view/f17er/3mulat0r5gam35/fla5h/5up3r-5ma5h-fla5h	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/3mulat0r5gam35/fla5h/5up3r-5ma5h-fla5h.html	(from https://sites.google.com/view/f17er)
00:49:46	98423/98423	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:12%20GMT	https://sites.google.com/view/f17er/3mulat0r5gam35/g8a-gam35	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/3mulat0r5gam35/g8a-gam35.html	(from https://sites.google.com/view/f17er)
00:49:47	97459/97459	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:13%20GMT	https://sites.google.com/view/f17er/3mulat0r5gam35/rom-downloads	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/3mulat0r5gam35/rom-downloads.html	(from https://sites.google.com/view/f17er)
00:49:47	98400/98400	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:13%20GMT	https://sites.google.com/view/f17er/3mulat0r5gam35/emulator-1	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/3mulat0r5gam35/emulator-1.html	(from https://sites.google.com/view/f17er)
00:49:48	98446/98446	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:13%20GMT	https://sites.google.com/view/f17er/3mulat0r5gam35/3mulat0r5-2	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/3mulat0r5gam35/3mulat0r5-2.html	(from https://sites.google.com/view/f17er)
00:49:48	98307/98307	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:14%20GMT	https://sites.google.com/view/f17er/fnaf/fnaf-1	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/fnaf/fnaf-1.html	(from https://sites.google.com/view/f17er)
00:49:48	98449/98449	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:14%20GMT	https://sites.google.com/view/f17er/fnaf/fnaf-2	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/fnaf/fnaf-2.html	(from https://sites.google.com/view/f17er)
00:49:49	98466/98466	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:15%20GMT	https://sites.google.com/view/f17er/fnaf/fnaf-3	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/fnaf/fnaf-3.html	(from https://sites.google.com/view/f17er)
